L3,H3,S,L4,L4,L3
H3,L3,L4,L4,L4,H3
L3,L3,L3,H4,H3,L4
L3,L3,L3,L3,H4,H4
H4,H3,H3,S,H4,H4
H4,H4,L3,H3,L4,L4
L4,H3,H4,H3,L3,L4
L3,L4,W,H3,H3,S
H4,H4,L4,S,L3,H4
L3,L4,L4,L3,L4,L3
H3,H4,H3,H3,S,H3
L3,H4,L3,L3,L4,H4
H4,L4,S,L3,H3,L3
L4,L4,L3,H3,L3,L3
S,L3,L4,H3,L4,L4
S,S,S,S,H4,S
L4,L3,L3,H4,H3,H4
H4,H3,W,L4,H3,L3
L3,H3,L4,L3,W,L3
H3,H3,L3,L4,L4,L4
L4,L4,L4,S,H4,H4
L3,H4,H3,H4,H4,W
L4,L4,L4,S,L3,L4
L4,L4,L4,L4,W,L3
H4,S,W,L3,L3,L3
H4,L3,H3,H4,L3,L4
H4,L4,L4,L3,L4,S
W,H3,L3,H4,H3,H3
H3,L4,H4,L3,H3,H3
H4,H4,L3,W,S,L3
L3,L4,L4,L3,L4,H3
L3,L4,H4,W,H3,H4
H3,L3,L4,H4,L4,H4
L4,L4,L4,L3,L4,L4
L3,H4,L3,H3,H3,H4
H3,L4,L4,L4,L3,S
L4,L3,L3,L3,H4,H3
W,L3,L4,H3,L4,L4
L3,H3,H4,W,L3,S
H3,L3,L3,L4,L3,W
H3,S,L3,L3,L4,L3
S,H3,H3,H3,H3,L4
H4,L3,H4,L4,L4,S
L4,L3,H4,H4,H3,H4
H4,S,L4,H3,L4,H3
S,S,S,S,L4,S
S,L4,W,H3,W,H4
L3,H3,W,H3,L3,L3
H3,L3,H3,L3,H4,H3
S,L4,L3,S,H3,L4
L4,L3,H3,L3,L3,L4
H4,H3,L3,L4,L4,L4
L3,L3,H3,L4,W,L3
H4,L3,H4,S,H4,L3
L4,L3,S,H4,L4,L3
L4,L3,H4,H4,L3,H4
W,H3,H3,H4,H4,L3
L3,L3,H3,L3,L3,L4
H3,L4,L3,H3,L3,H4
H4,L4,H4,H4,H3,H4
H3,H3,L4,H3,L3,H4
L4,L4,H4,H4,H4,L3
H4,H3,S,L3,L3,H3
L4,L4,L4,H4,W,L3
S,H3,L4,H3,L3,H4
H4,H3,H4,H4,W,H4
H4,L4,L4,W,L4,L3
L4,H4,L4,L3,W,L4
L3,H3,L3,S,L3,H4
L4,H3,L3,H3,H4,L3
H3,L3,L3,H4,L3,H3
H3,H4,L3,L4,H3,L3
H4,L4,H3,L3,H4,S
L3,H3,L4,L3,L3,L4
H3,L4,H3,L4,H4,L3
S,S,S,S,S,H3
H4,H3,L3,L3,S,L4
L3,L3,S,L3,L4,W
L4,H4,L3,H4,H3,H3
L3,H4,H4,L3,L4,L4
H4,L3,H4,H3,L3,S
L3,H4,H3,H4,W,W
L3,L3,H4,S,H4,L4
H3,L4,W,W,L4,H3
H3,L4,L3,W,H3,H4
H3,H4,S,H3,S,L3
W,W,H3,L3,L3,L4
L3,L4,L4,L3,L3,H4
H3,H4,H3,H3,H4,S
L3,H4,H4,L3,L4,W
H4,L4,L4,H3,H3,L4
H3,L4,H4,L4,H4,L3
W,L4,W,S,L3,H4
L3,S,H4,L4,H4,L3
H4,H4,H4,S,L4,H3
S,H4,H4,H3,W,L4
L4,S,L3,L4,H3,L3
H3,W,H3,L3,H3,H4
L4,L4,H3,L3,S,H3
L4,H3,W,H3,W,L3
H3,S,H4,H3,L3,H3
H3,H4,H4,H3,H3,H3
S,H3,W,H4,H4,H4
L4,H3,H3,H4,H4,L4
L3,L4,H4,L3,S,H3
L3,H3,S,L4,S,H3
L4,H4,H4,L3,L4,H3
H4,L4,L3,H3,W,L4
L3,H4,L3,L3,H3,H4
S,H4,L4,L3,L4,L3
W,H4,L3,L3,L4,W
H3,H4,H3,L3,H3,L4
L4,L4,H4,L3,L3,L3
H4,L3,H4,L4,L3,H3
H3,W,S,L4,W,H3
L4,L3,L4,L4,H3,H3
H4,S,L4,H4,L4,W
L3,L3,H4,S,L4,L3
H4,L4,L4,L3,L3,L3
H4,H4,H3,L3,H3,H3
H4,S,L3,H3,S,L3
H4,L4,H3,H4,H3,L3
L3,L4,H4,H4,W,L4
H4,H3,H3,L4,L4,L3
L4,L4,H3,L4,H4,H4
H3,H3,L3,W,H3,L4
L4,L4,H3,L4,S,H4
W,L4,L3,L4,H4,H3
H3,S,L3,H3,L3,H3
H4,L3,H4,L3,H3,S
H3,H4,L3,H4,H4,L3
S,L3,H4,L4,H4,L4
L4,L4,L4,L3,L4,L3
H4,W,L3,L4,W,L3
L4,H3,L3,L3,W,L3
H3,S,S,L4,W,H3
H4,H3,H4,L3,H4,H3
L4,L3,H4,W,S,W
L3,H4,L4,L4,S,H4
H3,L3,L4,L3,L4,L4
L4,L3,H4,W,H3,H4
L3,L3,L4,H4,S,H4
H4,L4,W,L3,W,H3
H4,H3,H3,H3,L3,H4
H4,H4,L3,H3,H4,L3
H3,H4,H3,L4,S,L3
L3,W,L3,L3,L3,L3
L3,L4,H4,L4,W,H4
H4,L3,H4,L4,L3,H3
L3,H4,H3,W,W,H3
H4,L4,W,W,L3,S
H4,S,H4,L4,S,L3
L4,H4,L4,H4,H3,L4
S,S,L4,L3,H3,L3
L4,H3,H4,H4,L3,L4
H4,L4,W,W,L3,L4
L3,W,H4,H4,L4,H4
L4,W,L3,L3,H3,H4
W,H4,W,L4,L3,L4
L3,H3,H3,L3,H3,H4
L3,L4,L4,L3,H4,L4
H3,L3,L4,L3,H4,L3
H3,W,L3,L4,L3,L4
S,S,W,H3,H3,S
L4,H4,L3,H3,H4,S
S,L3,S,W,S,S
L4,H3,L3,S,S,S
L4,W,H3,L3,H3,L3
H4,L3,H3,H3,L3,S
H3,L3,S,S,L3,H3
L4,H4,L4,H4,W,L3
H4,L4,H4,S,L4,L4
L3,H4,L4,H3,L4,H3
L4,H4,L4,H4,H3,L4
L3,H3,H4,L3,L4,H4
H3,H4,H3,L4,H3,L3
L4,H4,S,S,H3,W
L4,L4,L4,H3,L4,H3
W,H3,H3,H4,L4,H4
S,H3,H3,H3,H3,S
H3,H4,L3,L3,L3,H3
H4,L4,H4,S,H4,L3
L3,L4,W,L3,H3,H4
H3,H3,H3,L4,S,H3
L3,L3,L3,S,L3,L4
L4,H4,S,H4,L3,H3
L4,H3,H3,H4,H3,L3
L4,L4,L3,W,L4,H4
H3,L4,H4,L3,L3,H4
S,L3,L3,L3,L3,L3
H3,L4,H3,L3,H3,W
H4,L3,L4,L3,L3,S
L3,H3,L4,H4,L4,L4
W,H4,H4,H4,W,S
S,L3,H4,L4,H3,H3
S,S,S,H3,S,L3
L3,S,L3,H4,L3,L3
W,L4,H4,H4,H3,L4
L3,L3,H4,L4,H4,H4
L3,S,H4,H4,L3,W
L3,S,H3,L3,L4,H4
L3,W,S,H4,S,L3
L4,S,L3,H3,H3,L4
H4,L3,S,W,L3,L4
L3,L4,L3,L4,L4,H4
L4,L4,L4,H4,H4,L3
L4,H4,L4,H3,L3,L4
H3,L4,H4,L4,S,L4
H4,H4,H4,L4,L3,W
L3,L4,L3,S,H3,L3
H3,H3,L3,L3,L4,H4
H4,S,L3,L4,H4,L4
L3,L4,H3,H4,H3,L4
H3,W,L3,L3,L3,H3
H3,L4,W,H3,L3,L3
S,S,W,H3,W,H3
S,H4,L4,H4,H4,H3
H3,L3,L3,H3,L4,L4
H3,H3,L4,H3,H3,H3
H3,W,L3,W,H3,H4
L4,H3,L4,H3,H4,S
H4,H3,H3,L3,L4,H4
L3,H4,L4,L4,H4,L3
L4,S,L4,L3,W,H4
H4,L3,H4,L4,L3,H4
S,W,S,L3,S,H3
H4,L3,L3,S,L4,L4
L3,L4,H4,L4,L3,L3
W,H3,L4,L3,L3,H4
L3,L3,H4,H4,H3,H4
L3,W,H4,L3,H3,H4
H3,S,H3,H3,H3,H4
L4,H3,L4,L3,H3,H3
L3,L3,L4,H4,S,L4
L3,H4,H4,L3,H3,W
H3,L4,H4,H4,H4,H4
L3,H3,H3,H3,H4,L3
H4,L4,H4,H4,H3,L3
H4,H4,S,S,W,S
H3,S,H3,H4,H4,S
H4,H3,H3,L4,H4,L3
L3,L3,H3,L3,S,L4
H4,H4,H3,H3,H4,H3
L3,S,H3,H3,L3,W
L3,H4,H4,S,S,H3
H4,H4,H3,H4,L3,H4
H3,L3,L4,H4,H3,H3
H4,H4,L3,L3,H4,L4
H3,L3,H3,H4,H3,L4
L4,L3,L4,L4,L3,L4
