L1,W,L2,L4,L4,H1
H3,S,L2,M,H1,M
H4,H3,L1,L4,L4,H4
W,H3,W,L3,L1,H4
H4,L4,M,H3,H2,M
H1,L4,W,H1,H3,L3
H3,L2,L1,W,H4,L1
H2,L2,M,H3,L1,S
L1,H4,H3,L4,M,L2
L1,H1,L1,L2,H3,H1
L4,L3,H3,L4,L1,L3
L3,W,H3,L1,L4,L3
H2,H1,H2,L3,L2,H1
L4,H2,L2,H2,H4,H1
L4,H3,H2,H4,L2,H4
L1,S,S,M,S,S
L3,H2,H1,H3,S,H4
L4,L3,H1,H3,L3,W
H3,H2,H4,M,H3,H1
H4,L4,S,L4,H2,H1
L1,M,L2,L4,W,H3
W,H2,L1,L1,H1,H1
H2,L3,L3,L1,H1,S
L2,L1,L2,H2,L4,M
H1,H3,L1,L1,L3,H2
H1,H2,L2,M,H3,W
H1,H4,L2,H4,L3,H4
H4,H1,H2,S,H4,L2
L2,H2,L3,L3,L1,L4
L2,L2,M,H4,H4,L4
H3,L2,H1,L4,H3,L2
H2,L3,L3,L2,H4,H4
M,L2,S,H4,H2,M
L1,L1,H4,L2,L4,H4
L2,L1,S,H2,L1,H3
H2,W,H3,H2,L4,L3
H3,H3,H4,H4,L4,H3
L1,H3,L2,L1,M,H4
H1,H3,L4,H1,H1,M
H2,H1,H4,S,H3,M
H4,W,L3,H4,L4,L1
L4,M,L4,H3,L2,L2
L3,H1,H1,L3,H4,L4
S,W,H2,H4,L1,H3
L1,S,L1,H2,H3,S
S,S,S,S,L2,L3
L1,L1,L4,L2,L2,L1
W,H3,L2,H1,H1,H4
M,L3,L2,H3,H2,M
W,H4,H3,L4,L3,L4
W,L2,M,L2,L3,L3
L1,W,H3,H3,L1,H4
H2,H4,L3,H1,H1,W
L2,L1,H4,H3,H4,H4
H3,H4,L2,L1,M,H3
L4,S,L2,L2,H4,L2
H2,H1,M,L1,H4,M
H4,L1,L3,L2,L2,L1
M,H3,L3,L1,L1,M
H1,W,W,H4,H4,L4
H4,L3,L2,H2,S,H1
L3,L3,H1,H2,H2,H1
H2,L3,S,S,S,M
H2,L3,L3,L3,L3,H4
L2,L4,L1,L4,H2,M
H4,L2,L2,L4,L4,H1
L3,L2,S,L3,H4,H3
H3,H1,H1,H4,H3,H1
L2,W,H1,L3,L4,M
W,H1,H4,M,W,H2
H4,L3,L2,L2,L4,L1
H2,L3,L3,L2,L4,L2
H2,L3,W,H4,H4,M
H3,H4,H2,L1,H3,L1
L4,H3,M,L3,H4,H1
S,L1,S,L4,S,S
S,M,H4,H1,H3,H1
L2,H2,L3,L2,M,H1
L4,S,H2,L3,L3,W
L2,H4,L4,H3,L2,H4
H4,H1,L1,W,L3,L4
L4,H3,H4,L1,M,H1
L3,H1,H1,S,H4,L3
L3,H3,L2,M,H4,H3
H3,M,L2,L2,L2,M
H3,H2,L4,H3,S,L2
